a	 -a
dosmana	- -d-os-man-a
dosrana	- -d-os-ran-a
dossana	- -d-os-san-a
dēnmana	- -d-ēn-man-a
dēnrana	- -d-ēn-ran-a
dēnsana	- -d-ēn-san-a
dēsmana	- -d-ēs-man-a
dēsrana	- -d-ēs-ran-a
dēssana	- -d-ēs-san-a
dedmana	- -d-ed-man-a
dedrana	- -d-ed-ran-a
dedsana	- -d-ed-san-a
idom	- -id-om
idor	- -id-or
ida	- -id-a
idi	- -id-i
idēn	- -id-ēn
idēs	- -id-ēs
ide	- -id-e
idomi	- -id-om-i
idori	- -id-or-i
idēk	- -id-ēk
idik	- -id-ik
idēni	- -id-ēn-i
idēsi	- -id-ēs-i
idēdi	- -id-ēd-i
idoma	- -id-om-a
idora	- -id-or-a
idēya	- -id-ēy-a
idīya	- -id-īy-a
idēna	- -id-ēn-a
idēsa	- -id-ēs-a
idēda	- -id-ēd-a
idomir	- -id-om-ir
idomis	- -id-om-is
idorim	- -id-or-im
idoris	- -id-or-is
idosim	- -id-os-im
idosir	- -id-os-ir
idosis	- -id-os-is
idēnim	- -id-ēn-im
idēnir	- -id-ēn-ir
idēnis	- -id-ēn-is
idēsim	- -id-ēs-im
idēsir	- -id-ēs-ir
idēsis	- -id-ēs-is
idēdim	- -id-ēd-im
idēdir	- -id-ēd-ir
idēdis	- -id-ēd-is
idomman	- -id-om-man
idomran	- -id-om-ran
idomsan	- -id-om-san
idorman	- -id-or-man
idorran	- -id-or-ran
idorsan	- -id-or-san
idosman	- -id-os-man
idosran	- -id-os-ran
idossan	- -id-os-san
idēnman	- -id-ēn-man
idēnran	- -id-ēn-ran
idēnsan	- -id-ēn-san
idēsman	- -id-ēs-man
idēsran	- -id-ēs-ran
idēssan	- -id-ēs-san
idedman	- -id-ed-man
idedran	- -id-ed-ran
idedsan	- -id-ed-san
idomri	- -id-om-r-i
idomsi	- -id-om-s-i
idormi	- -id-or-m-i
idorsi	- -id-or-s-i
idosmi	- -id-os-m-i
idosri	- -id-os-r-i
idossi	- -id-os-s-i
idēnmi	- -id-ēn-m-i
idēnri	- -id-ēn-r-i
idēnsi	- -id-ēn-s-i
idēsmi	- -id-ēs-m-i
idēsri	- -id-ēs-r-i
idēssi	- -id-ēs-s-i
idedmi	- -id-ed-m-i
idedri	- -id-ed-r-i
idedsi	- -id-ed-s-i
idommani	- -id-om-man-i
idomrani	- -id-om-ran-i
idomsani	- -id-om-san-i
idormani	- -id-or-man-i
idorrani	- -id-or-ran-i
idorsani	- -id-or-san-i
idosmani	- -id-os-man-i
idosrani	- -id-os-ran-i
idossani	- -id-os-san-i
idēnmani	- -id-ēn-man-i
idēnrani	- -id-ēn-ran-i
idēnsani	- -id-ēn-san-i
idēsmani	- -id-ēs-man-i
idēsrani	- -id-ēs-ran-i
idēssani	- -id-ēs-san-i
idedmani	- -id-ed-man-i
idedrani	- -id-ed-ran-i
idedsani	- -id-ed-san-i
idomra	- -id-om-r-a
idomsa	- -id-om-s-a
idorma	- -id-or-m-a
idorsa	- -id-or-s-a
idosma	- -id-os-m-a
idosra	- -id-os-r-a
idossa	- -id-os-s-a
idēnma	- -id-ēn-m-a
idēnra	- -id-ēn-r-a
idēnsa	- -id-ēn-s-a
idēsma	- -id-ēs-m-a
idēsra	- -id-ēs-r-a
idēssa	- -id-ēs-s-a
idedma	- -id-ed-m-a
idedra	- -id-ed-r-a
idedsa	- -id-ed-s-a
idommana	- -id-om-man-a
idomrana	- -id-om-ran-a
idomsana	- -id-om-san-a
idormana	- -id-or-man-a
idorrana	- -id-or-ran-a
idorsana	- -id-or-san-a
idosmana	- -id-os-man-a
idosrana	- -id-os-ran-a
idossana	- -id-os-san-a
idēnmana	- -id-ēn-man-a
idēnrana	- -id-ēn-ran-a
idēnsana	- -id-ēn-san-a
idēsmana	- -id-ēs-man-a
idēsrana	- -id-ēs-ran-a
idēssana	- -id-ēs-san-a
idedmana	- -id-ed-man-a
idedrana	- -id-ed-ran-a
idedsana	- -id-ed-san-a
edom	- -ed-om
edor	- -ed-or
eda	- -ed-a
edi	- -ed-i
edēn	- -ed-ēn
edēs	- -ed-ēs
ede	- -ed-e
edomi	- -ed-om-i
edori	- -ed-or-i
edēk	- -ed-ēk
edik	- -ed-ik
edēni	- -ed-ēn-i
edēsi	- -ed-ēs-i
edēdi	- -ed-ēd-i
edoma	- -ed-om-a
edora	- -ed-or-a
edēya	- -ed-ēy-a
edīya	- -ed-īy-a
edēna	- -ed-ēn-a
edēsa	- -ed-ēs-a
edēda	- -ed-ēd-a
edomir	- -ed-om-ir
edomis	- -ed-om-is
edorim	- -ed-or-im
edoris	- -ed-or-is
edosim	- -ed-os-im
edosir	- -ed-os-ir
edosis	- -ed-os-is
edēnim	- -ed-ēn-im
edēnir	- -ed-ēn-ir
edēnis	- -ed-ēn-is
edēsim	- -ed-ēs-im
edēsir	- -ed-ēs-ir
edēsis	- -ed-ēs-is
edēdim	- -ed-ēd-im
edēdir	- -ed-ēd-ir
edēdis	- -ed-ēd-is
edomman	- -ed-om-man
edomran	- -ed-om-ran
edomsan	- -ed-om-san
edorman	- -ed-or-man
edorran	- -ed-or-ran
edorsan	- -ed-or-san
edosman	- -ed-os-man
edosran	- -ed-os-ran
edossan	- -ed-os-san
edēnman	- -ed-ēn-man
edēnran	- -ed-ēn-ran
edēnsan	- -ed-ēn-san
edēsman	- -ed-ēs-man
edēsran	- -ed-ēs-ran
edēssan	- -ed-ēs-san
ededman	- -ed-ed-man
ededran	- -ed-ed-ran
ededsan	- -ed-ed-san
edomri	- -ed-om-r-i
edomsi	- -ed-om-s-i
edormi	- -ed-or-m-i
edorsi	- -ed-or-s-i
edosmi	- -ed-os-m-i
edosri	- -ed-os-r-i
edossi	- -ed-os-s-i
edēnmi	- -ed-ēn-m-i
edēnri	- -ed-ēn-r-i
edēnsi	- -ed-ēn-s-i
edēsmi	- -ed-ēs-m-i
edēsri	- -ed-ēs-r-i
edēssi	- -ed-ēs-s-i
ededmi	- -ed-ed-m-i
ededri	- -ed-ed-r-i
ededsi	- -ed-ed-s-i
edommani	- -ed-om-man-i
edomrani	- -ed-om-ran-i
edomsani	- -ed-om-san-i
edormani	- -ed-or-man-i
edorrani	- -ed-or-ran-i
edorsani	- -ed-or-san-i
edosmani	- -ed-os-man-i
edosrani	- -ed-os-ran-i
edossani	- -ed-os-san-i
edēnmani	- -ed-ēn-man-i
edēnrani	- -ed-ēn-ran-i
edēnsani	- -ed-ēn-san-i
edēsmani	- -ed-ēs-man-i
edēsrani	- -ed-ēs-ran-i
edēssani	- -ed-ēs-san-i
ededmani	- -ed-ed-man-i
ededrani	- -ed-ed-ran-i
ededsani	- -ed-ed-san-i
edomra	- -ed-om-r-a
edomsa	- -ed-om-s-a
edorma	- -ed-or-m-a
edorsa	- -ed-or-s-a
edosma	- -ed-os-m-a
edosra	- -ed-os-r-a
edossa	- -ed-os-s-a
edēnma	- -ed-ēn-m-a
edēnra	- -ed-ēn-r-a
edēnsa	- -ed-ēn-s-a
edēsma	- -ed-ēs-m-a
edēsra	- -ed-ēs-r-a
edēssa	- -ed-ēs-s-a
ededma	- -ed-ed-m-a
ededra	- -ed-ed-r-a
ededsa	- -ed-ed-s-a
edommana	- -ed-om-man-a
edomrana	- -ed-om-ran-a
edomsana	- -ed-om-san-a
edormana	- -ed-or-man-a
edorrana	- -ed-or-ran-a
edorsana	- -ed-or-san-a
edosmana	- -ed-os-man-a
edosrana	- -ed-os-ran-a
edossana	- -ed-os-san-a
edēnmana	- -ed-ēn-man-a
edēnrana	- -ed-ēn-ran-a
edēnsana	- -ed-ēn-san-a
edēsmana	- -ed-ēs-man-a
edēsrana	- -ed-ēs-ran-a
edēssana	- -ed-ēs-san-a
ededmana	- -ed-ed-man-a
ededrana	- -ed-ed-ran-a
ededsana	- -ed-ed-san-a
irdom	- -ird-om
irdor	- -ird-or
irda	- -ird-a
irdi	- -ird-i
irdēn	- -ird-ēn
irdēs	- -ird-ēs
irde	- -ird-e
irdomi	- -ird-om-i
irdori	- -ird-or-i
irdēk	- -ird-ēk
irdik	- -ird-ik
irdēni	- -ird-ēn-i
irdēsi	- -ird-ēs-i
irdēdi	- -ird-ēd-i
irdoma	- -ird-om-a
irdora	- -ird-or-a
irdēya	- -ird-ēy-a
irdīya	- -ird-īy-a
irdēna	- -ird-ēn-a
irdēsa	- -ird-ēs-a
irdēda	- -ird-ēd-a
irdomir	- -ird-om-ir
irdomis	- -ird-om-is
irdorim	- -ird-or-im
irdoris	- -ird-or-is
irdosim	- -ird-os-im
irdosir	- -ird-os-ir
irdosis	- -ird-os-is
irdēnim	- -ird-ēn-im
irdēnir	- -ird-ēn-ir
irdēnis	- -ird-ēn-is
irdēsim	- -ird-ēs-im
irdēsir	- -ird-ēs-ir
irdēsis	- -ird-ēs-is
irdēdim	- -ird-ēd-im
irdēdir	- -ird-ēd-ir
irdēdis	- -ird-ēd-is
irdomman	- -ird-om-man
irdomran	- -ird-om-ran
irdomsan	- -ird-om-san
irdorman	- -ird-or-man
irdorran	- -ird-or-ran
irdorsan	- -ird-or-san
irdosman	- -ird-os-man
irdosran	- -ird-os-ran
irdossan	- -ird-os-san
irdēnman	- -ird-ēn-man
irdēnran	- -ird-ēn-ran
irdēnsan	- -ird-ēn-san
irdēsman	- -ird-ēs-man
irdēsran	- -ird-ēs-ran
irdēssan	- -ird-ēs-san
irdedman	- -ird-ed-man
irdedran	- -ird-ed-ran
irdedsan	- -ird-ed-san
irdomri	- -ird-om-r-i
irdomsi	- -ird-om-s-i
irdormi	- -ird-or-m-i
irdorsi	- -ird-or-s-i
irdosmi	- -ird-os-m-i
irdosri	- -ird-os-r-i
irdossi	- -ird-os-s-i
irdēnmi	- -ird-ēn-m-i
irdēnri	- -ird-ēn-r-i
irdēnsi	- -ird-ēn-s-i
irdēsmi	- -ird-ēs-m-i
irdēsri	- -ird-ēs-r-i
irdēssi	- -ird-ēs-s-i
irdedmi	- -ird-ed-m-i
irdedri	- -ird-ed-r-i
irdedsi	- -ird-ed-s-i
irdommani	- -ird-om-man-i
irdomrani	- -ird-om-ran-i
irdomsani	- -ird-om-san-i
irdormani	- -ird-or-man-i
irdorrani	- -ird-or-ran-i
irdorsani	- -ird-or-san-i
irdosmani	- -ird-os-man-i
irdosrani	- -ird-os-ran-i
irdossani	- -ird-os-san-i
irdēnmani	- -ird-ēn-man-i
irdēnrani	- -ird-ēn-ran-i
irdēnsani	- -ird-ēn-san-i
irdēsmani	- -ird-ēs-man-i
irdēsrani	- -ird-ēs-ran-i
irdēssani	- -ird-ēs-san-i
irdedmani	- -ird-ed-man-i
irdedrani	- -ird-ed-ran-i
irdedsani	- -ird-ed-san-i
irdomra	- -ird-om-r-a
irdomsa	- -ird-om-s-a
irdorma	- -ird-or-m-a
irdorsa	- -ird-or-s-a
irdosma	- -ird-os-m-a
irdosra	- -ird-os-r-a
irdossa	- -ird-os-s-a
irdēnma	- -ird-ēn-m-a
irdēnra	- -ird-ēn-r-a
irdēnsa	- -ird-ēn-s-a
irdēsma	- -ird-ēs-m-a
irdēsra	- -ird-ēs-r-a
irdēssa	- -ird-ēs-s-a
irdedma	- -ird-ed-m-a
irdedra	- -ird-ed-r-a
irdedsa	- -ird-ed-s-a
irdommana	- -ird-om-man-a
irdomrana	- -ird-om-ran-a
irdomsana	- -ird-om-san-a
irdormana	- -ird-or-man-a
irdorrana	- -ird-or-ran-a
irdorsana	- -ird-or-san-a
irdosmana	- -ird-os-man-a
irdosrana	- -ird-os-ran-a
irdossana	- -ird-os-san-a
irdēnmana	- -ird-ēn-man-a
irdēnrana	- -ird-ēn-ran-a
irdēnsana	- -ird-ēn-san-a
irdēsmana	- -ird-ēs-man-a
irdēsrana	- -ird-ēs-ran-a
irdēssana	- -ird-ēs-san-a
irdedmana	- -ird-ed-man-a
irdedrana	- -ird-ed-ran-a
irdedsana	- -ird-ed-san-a
indom	- -ind-om
indor	- -ind-or
inda	- -ind-a
indi	- -ind-i
indēn	- -ind-ēn
indēs	- -ind-ēs
inde	- -ind-e
indomi	- -ind-om-i
indori	- -ind-or-i
indēk	- -ind-ēk
indik	- -ind-ik
indēni	- -ind-ēn-i
indēsi	- -ind-ēs-i
indedi	- -ind-ed-i
indoma	- -ind-om-a
indora	- -ind-or-a
indēya	- -ind-ēy-a
indīya	- -ind-īy-a
indēna	- -ind-ēn-a
indēsa	- -ind-ēs-a
indēda	- -ind-ēd-a
indomir	- -ind-om-ir
indomis	- -ind-om-is
indorim	- -ind-or-im
indoris	- -ind-or-is
indosim	- -ind-os-im
indosir	- -ind-os-ir
indosis	- -ind-os-is
indēnim	- -ind-ēn-im
indēnir	- -ind-ēn-ir
indēnis	- -ind-ēn-is
indēsim	- -ind-ēs-im
indēsir	- -ind-ēs-ir
indēsis	- -ind-ēs-is
indēdim	- -ind-ēd-im
indēdir	- -ind-ēd-ir
indēdis	- -ind-ēd-is
indomman	- -ind-om-man
indomran	- -ind-om-ran
indomsan	- -ind-om-san
indorman	- -ind-or-man
indorran	- -ind-or-ran
indorsan	- -ind-or-san
indosman	- -ind-os-man
indosran	- -ind-os-ran
indossan	- -ind-os-san
indēnman	- -ind-ēn-man
indēnran	- -ind-ēn-ran
indēnsan	- -ind-ēn-san
indēsman	- -ind-ēs-man
indēsran	- -ind-ēs-ran
indēssan	- -ind-ēs-san
indedman	- -ind-ed-man
indedran	- -ind-ed-ran
indedsan	- -ind-ed-san
indomri	- -ind-om-r-i
indomsi	- -ind-om-s-i
indormi	- -ind-or-m-i
indorsi	- -ind-or-s-i
indosmi	- -ind-os-m-i
indosri	- -ind-os-r-i
indossi	- -ind-os-s-i
indēnmi	- -ind-ēn-m-i
indēnri	- -ind-ēn-r-i
indēnsi	- -ind-ēn-s-i
indēsmi	- -ind-ēs-m-i
indēsri	- -ind-ēs-r-i
indēssi	- -ind-ēs-s-i
indedmi	- -ind-ed-m-i
indedri	- -ind-ed-r-i
indedsi	- -ind-ed-s-i
indommani	- -ind-om-man-i
indomrani	- -ind-om-ran-i
indomsani	- -ind-om-san-i
indormani	- -ind-or-man-i
indorrani	- -ind-or-ran-i
indorsani	- -ind-or-san-i
indosmani	- -ind-os-man-i
indosrani	- -ind-os-ran-i
indossani	- -ind-os-san-i
indēnmani	- -ind-ēn-man-i
indēnrani	- -ind-ēn-ran-i
indēnsani	- -ind-ēn-san-i
indēsmani	- -ind-ēs-man-i
indēsrani	- -ind-ēs-ran-i
indēssani	- -ind-ēs-san-i
indedmani	- -ind-ed-man-i
indedrani	- -ind-ed-ran-i
indedsani	- -ind-ed-san-i
indomra	- -ind-om-r-a
indomsa	- -ind-om-s-a
indorma	- -ind-or-m-a
indorsa	- -ind-or-s-a
indosma	- -ind-os-m-a
indosra	- -ind-os-r-a
indossa	- -ind-os-s-a
indēnma	- -ind-ēn-m-a
indēnra	- -ind-ēn-r-a
indēnsa	- -ind-ēn-s-a
indēsma	- -ind-ēs-m-a
indēsra	- -ind-ēs-r-a
indēssa	- -ind-ēs-s-a
indedma	- -ind-ed-m-a
indedra	- -ind-ed-r-a
indedsa	- -ind-ed-s-a
indommana	- -ind-om-man-a
indomrana	- -ind-om-ran-a
indomsana	- -ind-om-san-a
indormana	- -ind-or-man-a
indorrana	- -ind-or-ran-a
indorsana	- -ind-or-san-a
indosmana	- -ind-os-man-a
indosrana	- -ind-os-ran-a
indossana	- -ind-os-san-a
indēnmana	- -ind-ēn-man-a
indēnrana	- -ind-ēn-ran-a
indēnsana	- -ind-ēn-san-a
indēsmana	- -ind-ēs-man-a
indēsrana	- -ind-ēs-ran-a
indēssana	- -ind-ēs-san-a
indedmana	- -ind-ed-man-a
indedrana	- -ind-ed-ran-a
indedsana	- -ind-ed-san-a
kedom	- -k-ed-om
kedor	- -k-ed-or
keda	- -k-ed-a
kedi	- -k-ed-i
kedēn	- -k-ed-ēn
kedēs	- -k-ed-ēs
kede	- -k-ed-e
kedomir	- -k-ed-om-ir
kedomis	- -k-ed-om-is
kedorim	- -k-ed-or-im
kedoris	- -k-ed-or-is
kedosim	- -k-ed-os-im
kedosir	- -k-ed-os-ir
kedosis	- -k-ed-os-is
kedēnim	- -k-ed-ēn-im
kedēnir	- -k-ed-ēn-ir
kedēnis	- -k-ed-ēn-is
kedēsim	- -k-ed-ēs-im
kedēsir	- -k-ed-ēs-ir
kedēsis	- -k-ed-ēs-is
kedēdim	- -k-ed-ēd-im
kedēdir	- -k-ed-ēd-ir
kedēdis	- -k-ed-ēd-is
kedomman	- -k-ed-om-man
kedomran	- -k-ed-om-ran
kedomsan	- -k-ed-om-san
kedorman	- -k-ed-or-man
kedorran	- -k-ed-or-ran
kedorsan	- -k-ed-or-san
kedosman	- -k-ed-os-man
kedosran	- -k-ed-os-ran
kedossan	- -k-ed-os-san
kedēnman	- -k-ed-ēn-man
kedēnran	- -k-ed-ēn-ran
kedēnsan	- -k-ed-ēn-san
kedēsman	- -k-ed-ēs-man
kedēsran	- -k-ed-ēs-ran
kedēssan	- -k-ed-ēs-san
kededman	- -k-ed-ed-man
kededran	- -k-ed-ed-ran
kededsan	- -k-ed-ed-san
kedomri	- -k-ed-om-r-i
kedomsi	- -k-ed-om-s-i
kedormi	- -k-ed-or-m-i
kedorsi	- -k-ed-or-s-i
kedosmi	- -k-ed-os-m-i
kedosri	- -k-ed-os-r-i
kedossi	- -k-ed-os-s-i
kedēnmi	- -k-ed-ēn-m-i
kedēnri	- -k-ed-ēn-r-i
kedēnsi	- -k-ed-ēn-s-i
kedēsmi	- -k-ed-ēs-m-i
kedēsri	- -k-ed-ēs-r-i
kedēssi	- -k-ed-ēs-s-i
kededmi	- -k-ed-ed-m-i
kededri	- -k-ed-ed-r-i
kededsi	- -k-ed-ed-s-i
kedommani	- -k-ed-om-man-i
kedomrani	- -k-ed-om-ran-i
kedomsani	- -k-ed-om-san-i
kedormani	- -k-ed-or-man-i
kedorrani	- -k-ed-or-ran-i
kedorsani	- -k-ed-or-san-i
kedosmani	- -k-ed-os-man-i
kedosrani	- -k-ed-os-ran-i
kedossani	- -k-ed-os-san-i
kedēnmani	- -k-ed-ēn-man-i
kedēnrani	- -k-ed-ēn-ran-i
kedēnsani	- -k-ed-ēn-san-i
kedēsmani	- -k-ed-ēs-man-i
kedēsrani	- -k-ed-ēs-ran-i
kedēssani	- -k-ed-ēs-san-i
kededmani	- -k-ed-ed-man-i
kededrani	- -k-ed-ed-ran-i
kededsani	- -k-ed-ed-san-i
kedomra	- -k-ed-om-r-a
kedomsa	- -k-ed-om-s-a
kedorma	- -k-ed-or-m-a
kedorsa	- -k-ed-or-s-a
kedosma	- -k-ed-os-m-a
kedosra	- -k-ed-os-r-a
kedossa	- -k-ed-os-s-a
kedēnma	- -k-ed-ēn-m-a
kedēnra	- -k-ed-ēn-r-a
kedēnsa	- -k-ed-ēn-s-a
kedēsma	- -k-ed-ēs-m-a
kedēsra	- -k-ed-ēs-r-a
kedēssa	- -k-ed-ēs-s-a
kededma	- -k-ed-ed-m-a
kededra	- -k-ed-ed-r-a
kededsa	- -k-ed-ed-s-a
kedommana	- -k-ed-om-man-a
kedomrana	- -k-ed-om-ran-a
kedomsana	- -k-ed-om-san-a
kedormana	- -k-ed-or-man-a
kedorrana	- -k-ed-or-ran-a
kedorsana	- -k-ed-or-san-a
kedosmana	- -k-ed-os-man-a
kedosrana	- -k-ed-os-ran-a
kedossana	- -k-ed-os-san-a
kedēnmana	- -k-ed-ēn-man-a
kedēnrana	- -k-ed-ēn-ran-a
kedēnsana	- -k-ed-ēn-san-a
kedēsmana	- -k-ed-ēs-man-a
kedēsrana	- -k-ed-ēs-ran-a
kedēssana	- -k-ed-ēs-san-a
kededmana	- -k-ed-ed-man-a
kededrana	- -k-ed-ed-ran-a
kededsana	- -k-ed-ed-san-a
kdom	- -k-d-om
kdor	- -k-d-or
kda	- -k-d-a
kdi	- -k-d-i
kdēn	- -k-d-ēn
kdēs	- -k-d-ēs
kde	- -k-d-e
kdomir	- -k-d-om-ir
kdomis	- -k-d-om-is
kdorim	- -k-d-or-im
kdoris	- -k-d-or-is
kdosim	- -k-d-os-im
kdosir	- -k-d-os-ir
kdosis	- -k-d-os-is
kdēnim	- -k-d-ēn-im
kdēnir	- -k-d-ēn-ir
kdēnis	- -k-d-ēn-is
kdēsim	- -k-d-ēs-im
kdēsir	- -k-d-ēs-ir
kdēsis	- -k-d-ēs-is
kdēdim	- -k-d-ēd-im
kdēdir	- -k-d-ēd-ir
kdēdis	- -k-d-ēd-is
kdomman	- -k-d-om-man
kdomran	- -k-d-om-ran
kdomsan	- -k-d-om-san
kdorman	- -k-d-or-man
kdorran	- -k-d-or-ran
kdorsan	- -k-d-or-san
kdosman	- -k-d-os-man
kdosran	- -k-d-os-ran
kdossan	- -k-d-os-san
kdēnman	- -k-d-ēn-man
kdēnran	- -k-d-ēn-ran
kdēnsan	- -k-d-ēn-san
kdēsman	- -k-d-ēs-man
kdēsran	- -k-d-ēs-ran
kdēssan	- -k-d-ēs-san
kdedman	- -k-d-ed-man
kdedran	- -k-d-ed-ran
kdedsan	- -k-d-ed-san
kdomri	- -k-d-om-r-i
kdomsi	- -k-d-om-s-i
kdormi	- -k-d-or-m-i
kdorsi	- -k-d-or-s-i
kdosmi	- -k-d-os-m-i
kdosri	- -k-d-os-r-i
kdossi	- -k-d-os-s-i
kdēnmi	- -k-d-ēn-m-i
kdēnri	- -k-d-ēn-r-i
kdēnsi	- -k-d-ēn-s-i
kdēsmi	- -k-d-ēs-m-i
kdēsri	- -k-d-ēs-r-i
kdēssi	- -k-d-ēs-s-i
kdedmi	- -k-d-ed-m-i
kdedri	- -k-d-ed-r-i
kdedsi	- -k-d-ed-s-i
kdommani	- -k-d-om-man-i
kdomrani	- -k-d-om-ran-i
kdomsani	- -k-d-om-san-i
kdormani	- -k-d-or-man-i
kdorrani	- -k-d-or-ran-i
kdorsani	- -k-d-or-san-i
kdosmani	- -k-d-os-man-i
kdosrani	- -k-d-os-ran-i
kdossani	- -k-d-os-san-i
kdēnmani	- -k-d-ēn-man-i
kdēnrani	- -k-d-ēn-ran-i
kdēnsani	- -k-d-ēn-san-i
kdēsmani	- -k-d-ēs-man-i
kdēsrani	- -k-d-ēs-ran-i
kdēssani	- -k-d-ēs-san-i
kdedmani	- -k-d-ed-man-i
kdedrani	- -k-d-ed-ran-i
kdedsani	- -k-d-ed-san-i
kdomra	- -k-d-om-r-a
kdomsa	- -k-d-om-s-a
kdorma	- -k-d-or-m-a
kdorsa	- -k-d-or-s-a
kdosma	- -k-d-os-m-a
kdosra	- -k-d-os-r-a
kdossa	- -k-d-os-s-a
kdēnma	- -k-d-ēn-m-a
kdēnra	- -k-d-ēn-r-a
kdēnsa	- -k-d-ēn-s-a
kdēsma	- -k-d-ēs-m-a
kdēsra	- -k-d-ēs-r-a
kdēssa	- -k-d-ēs-s-a
kdedma	- -k-d-ed-m-a
kdedra	- -k-d-ed-r-a
kdedsa	- -k-d-ed-s-a
kdommana	- -k-d-om-man-a
kdomrana	- -k-d-om-ran-a
kdomsana	- -k-d-om-san-a
kdormana	- -k-d-or-man-a
kdorrana	- -k-d-or-ran-a
kdorsana	- -k-d-or-san-a
kdosmana	- -k-d-os-man-a
kdosrana	- -k-d-os-ran-a
kdossana	- -k-d-os-san-a
kdēnmana	- -k-d-ēn-man-a
kdēnrana	- -k-d-ēn-ran-a
kdēnsana	- -k-d-ēn-san-a
kdēsmana	- -k-d-ēs-man-a
kdēsrana	- -k-d-ēs-ran-a
kdēssana	- -k-d-ēs-san-a
kdedmana	- -k-d-ed-man-a
kdedrana	- -k-d-ed-ran-a
kdedsana	- -k-d-ed-san-a
kidom	- -k-id-om
kidor	- -k-id-or
kida	- -k-id-a
kidi	- -k-id-i
kidēn	- -k-id-ēn
kidēs	- -k-id-ēs
kide	- -k-id-e
kidomir	- -k-id-om-ir
kidomis	- -k-id-om-is
kidorim	- -k-id-or-im
kidoris	- -k-id-or-is
kidosim	- -k-id-os-im
kidosir	- -k-id-os-ir
kidosis	- -k-id-os-is
kidēnim	- -k-id-ēn-im
kidēnir	- -k-id-ēn-ir
kidēnis	- -k-id-ēn-is
kidēsim	- -k-id-ēs-im
kidēsir	- -k-id-ēs-ir
kidēsis	- -k-id-ēs-is
kidēdim	- -k-id-ēd-im
kidēdir	- -k-id-ēd-ir
kidēdis	- -k-id-ēd-is
kidomman	- -k-id-om-man
kidomran	- -k-id-om-ran
kidomsan	- -k-id-om-san
kidorman	- -k-id-or-man
kidorran	- -k-id-or-ran
kidorsan	- -k-id-or-san
kidosman	- -k-id-os-man
kidosran	- -k-id-os-ran
kidossan	- -k-id-os-san
kidēnman	- -k-id-ēn-man
kidēnran	- -k-id-ēn-ran
kidēnsan	- -k-id-ēn-san
kidēsman	- -k-id-ēs-man
kidēsran	- -k-id-ēs-ran
kidēssan	- -k-id-ēs-san
kidedman	- -k-id-ed-man
kidedran	- -k-id-ed-ran
kidedsan	- -k-id-ed-san
kidomri	- -k-id-om-r-i
kidomsi	- -k-id-om-s-i
kidormi	- -k-id-or-m-i
kidorsi	- -k-id-or-s-i
kidosmi	- -k-id-os-m-i
kidosri	- -k-id-os-r-i
kidossi	- -k-id-os-s-i
kidēnmi	- -k-id-ēn-m-i
kidēnri	- -k-id-ēn-r-i
kidēnsi	- -k-id-ēn-s-i
kidēsmi	- -k-id-ēs-m-i
kidēsri	- -k-id-ēs-r-i
kidēssi	- -k-id-ēs-s-i
kidedmi	- -k-id-ed-m-i
kidedri	- -k-id-ed-r-i
kidedsi	- -k-id-ed-s-i
kidommani	- -k-id-om-man-i
kidomrani	- -k-id-om-ran-i
kidomsani	- -k-id-om-san-i
kidormani	- -k-id-or-man-i
kidorrani	- -k-id-or-ran-i
kidorsani	- -k-id-or-san-i
kidosmani	- -k-id-os-man-i
kidosrani	- -k-id-os-ran-i
kidossani	- -k-id-os-san-i
kidēnmani	- -k-id-ēn-man-i
kidēnrani	- -k-id-ēn-ran-i
kidēnsani	- -k-id-ēn-san-i
kidēsmani	- -k-id-ēs-man-i
kidēsrani	- -k-id-ēs-ran-i
kidēssani	- -k-id-ēs-san-i
kidedmani	- -k-id-ed-man-i
kidedrani	- -k-id-ed-ran-i
kidedsani	- -k-id-ed-san-i
kidomra	- -k-id-om-r-a
kidomsa	- -k-id-om-s-a
kidorma	- -k-id-or-m-a
kidorsa	- -k-id-or-s-a
kidosma	- -k-id-os-m-a
kidosra	- -k-id-os-r-a
kidossa	- -k-id-os-s-a
kidēnma	- -k-id-ēn-m-a
kidēnra	- -k-id-ēn-r-a
kidēnsa	- -k-id-ēn-s-a
kidēsma	- -k-id-ēs-m-a
kidēsra	- -k-id-ēs-r-a
kidēssa	- -k-id-ēs-s-a
kidedma	- -k-id-ed-m-a
kidedra	- -k-id-ed-r-a
kidedsa	- -k-id-ed-s-a
kidommana	- -k-id-om-man-a
kidomrana	- -k-id-om-ran-a
kidomsana	- -k-id-om-san-a
kidormana	- -k-id-or-man-a
kidorrana	- -k-id-or-ran-a
kidorsana	- -k-id-or-san-a
kidosmana	- -k-id-os-man-a
kidosrana	- -k-id-os-ran-a
kidossana	- -k-id-os-san-a
kidēnmana	- -k-id-ēn-man-a
kidēnrana	- -k-id-ēn-ran-a
kidēnsana	- -k-id-ēn-san-a
kidēsmana	- -k-id-ēs-man-a
kidēsrana	- -k-id-ēs-ran-a
kidēssana	- -k-id-ēs-san-a
kidedmana	- -k-id-ed-man-a
kidedrana	- -k-id-ed-ran-a
kidedsana	- -k-id-ed-san-a
nawidom	- -naw-id-om
nawidor	- -naw-id-or
nawida	- -naw-id-a
nawidi	- -naw-id-i
nawidēn	- -naw-id-ēn
nawidēs	- -naw-id-ēs
nawide	- -naw-id-e
